大項目,中項目,小項目,設問,設問様式,選択肢,配点
3人権・労働,3.具体的課題への取組み―多様性に配慮した職場環境の整備,D.LGBTQ+に対する配慮,(1)職場において、LGBTQ+に対し、何らかの配慮がなされていますか,複数,b.職場に男女共用トイレを設置している,1
3人権・労働,3.具体的課題への取組み―多様性に配慮した職場環境の整備,D.LGBTQ+に対する配慮,(1)職場において、LGBTQ+に対し、何らかの配慮がなされていますか,複数,c.更衣室に関してトランスジェンダーへの配慮がなされている,2
3人権・労働,3.具体的課題への取組み―多様性に配慮した職場環境の整備,D.LGBTQ+に対する配慮,(1)職場において、LGBTQ+に対し、何らかの配慮がなされていますか,複数,d.トランスジェンダーの職場での性別移行に関して支援体制がある（通称使用など）,2
3人権・労働,3.具体的課題への取組み―多様性に配慮した職場環境の整備,D.LGBTQ+に対する配慮,(1)職場において、LGBTQ+に対し、何らかの配慮がなされていますか,複数,e.同性パートナーを可能な範囲で異性の配偶者と同様に扱うよう、福利厚生制度が整備されている,2
3人権・労働,3.具体的課題への取組み―多様性に配慮した職場環境の整備,D.LGBTQ+に対する配慮,(1)職場において、LGBTQ+に対し、何らかの配慮がなされていますか,複数,f.LGBTQ+に関する社内グループがある、または、ダイバーシティ推進組織の中でLGBTQ+もテーマに入っている,2
3人権・労働,3.具体的課題への取組み―多様性に配慮した職場環境の整備,D.LGBTQ+に対する配慮,(1)職場において、LGBTQ+に対し、何らかの配慮がなされていますか,複数,"g. その他、職場におけるLGBTQ+に対する配慮の取組みを行っている
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,a.行っていない、もしくは不明,0
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,b.職業あっせん手数料や保証金の徴収、または債務労働（雇用者が労働者に保証金・手数料・渡航費その他の名目で借金を追わせ、その返済のために働かせること）を禁止している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,c.（自社による）従業員の身分証明書・パスポート等の保管を禁止している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,d.従業員が外国人の場合、契約書を母国語で渡している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,e.職場で独自に定めたルールに従業員が「違反」した場合の金銭徴収（罰金）、体罰、虐待などを禁止している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,f.児童労働、強制労働または人身取引が発見された場合、警察やNGOと連携する仕組みがある。（具体例は「企業記入欄」に記入）,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,A.自社における、意思に反する就労や不当に不利な労働条件をなくす取組み,(1)自社内で児童労働・強制労働・人身取引を防ぐために、何らかの配慮を行っていますか（特に外国人労働者について）　【注】研修に関しては人2-A-2で回答してください,複数,"g.その他
【注】具体的内容については、「企業記入欄」に根拠とともに記載してください",2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,a.講じていない、もしくは不明,0
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,b.日本の労働時間関連法令を遵守している,1
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,c.時間外労働の上限を決め、従うように指導している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,d.休日出勤・有給休暇等の規程があり、それに従うように指導している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,e.日本の法定最低賃金を遵守している（最低賃金について違反に問われたことはない）,1
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,f.時間外手当（残業代）についての法令を遵守している（時間外手当などについて違反を問われたことはない）,1
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,g.サービス残業（無賃残業）が行われないよう監視・指導する仕組みがある,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,h.外国人労働者に対する賃金差別を禁止している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,B.自社における長時間労働、低賃金労働などの労働搾取を防ぐ取組み,(1)自社における長時間労働、低賃金労働などの労働搾取を防ぐために、手立てを講じていますか,複数,"i.その他
【注】具体的内容については「企業記入欄」に根拠とともに記載してください",2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,C.自社における結社の自由(団結権)、団体交渉権の尊重,(1)自社における結社の自由や団体交渉権の尊重に関して、何らかの取組みを行っていますか,複数,a.行っていない、または不明,0
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,C.自社における結社の自由(団結権)、団体交渉権の尊重,(1)自社における結社の自由や団体交渉権の尊重に関して、何らかの取組みを行っていますか,複数,b.結社の自由の尊重を明文化している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,C.自社における結社の自由(団結権)、団体交渉権の尊重,(1)自社における結社の自由や団体交渉権の尊重に関して、何らかの取組みを行っていますか,複数,c.団体交渉権の尊重を明文化している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,C.自社における結社の自由(団結権)、団体交渉権の尊重,(1)自社における結社の自由や団体交渉権の尊重に関して、何らかの取組みを行っていますか,複数,d. 労働組合員に対する差別やハラスメントを禁止している,2
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,D.労働者の権利侵害への外部からの批判・指摘,(1)労働者の権利侵害について、批判を受けたことがありますか,択一,"a.過去3年間、批判を受けたことは無い　 
",3
3人権・労働,4.具体的課題への取組み－自社における労働搾取の防止、労働者の権利の保護,D.労働者の権利侵害への外部からの批判・指摘,(1)労働者の権利侵害について、批判を受けたことがありますか,択一,"b. 過去３年以内に、以下のいずれかの批判を受けたことがある〔労働基準関係法令違反の指摘／その他労働者の権利侵害の批判〕
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",0
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,A.サプライヤーに対する人権尊重の要請,(1)国内外を問わず、サプライヤーに対して人権の尊重を要請していますか,択一,a.要請はしていない、もしくは不明,0
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,A.サプライヤーに対する人権尊重の要請,(1)国内外を問わず、サプライヤーに対して人権の尊重を要請していますか,択一,b.人権尊重を明文化して要請している,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,A.サプライヤーに対する人権尊重の要請,(1)国内外を問わず、サプライヤーに対して人権の尊重を要請していますか,択一,c.人権尊重の取組み状況についての調査または監査を行っている,3
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,A.サプライヤーに対する人権尊重の要請,(1)国内外を問わず、サプライヤーに対して人権の尊重を要請していますか,択一,d.人権尊重の取組み状況を調達の判断基準にしている,5
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,a.要請をしていない、もしくは不明,0
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,b.「児童労働」を禁止すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,c.「強制労働」または「人身取引」を禁止すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,d.職業斡旋手数料や保証金の徴収、および債務労働を禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,e.会社による身分証明書・パスポート等の保管を禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,f.労働者が外国人の場合、契約書を母国語で渡すこと,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,g.離職の自由を保障すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,h.携帯電話・パソコンなどの所有・使用、外部との連絡、外泊・外出などを禁止しないこと,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,i.職場で独自に定めたルールに従業員が「違反」した場合の金銭徴収（罰金）、体罰や虐待などを禁止すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,j.労働者本人または家族に対する暴力または暴力の脅し、強制的な本国送還や賃金不払いの脅しなどによって行動を制限することを禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,B.サプライヤーに対する、意思に反する就労や不当に不利な労働条件等禁止の要請,(1)国内外を問わず、サプライヤーに対して、意思に反する就労や不当に不利な労働条件をなくし、児童労働、強制労働、人身取引を防ぐために、何らかの要請を行っていますか,複数,k.児童労働、強制労働、または人身取引が発見された場合、現地警察やNGOと連携すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,a.手立てを講じるよう要請していない、もしくは不明,0
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,b.その国の労働時間関連法令を遵守すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,c.時間外労働の条件を決め、従うよう指導すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,d.時給労働に対する出来高払いの内職を禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,e.休日出勤・有給休暇等の規定を作り、それに従うよう指導すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,f.その国・地域の法定最低賃金についての法令を遵守すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,g.時間外手当（残業代）についての法令を遵守すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,h.「サービス残業」（無賃残業）が行われないよう監視・指導する仕組みを作ること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,i.賃金未払いを防ぐ仕組みを作ること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,j.「強制積立（強制貯金）」など不当な天引きを禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,k.外国人労働者に対する賃金差別を禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,C.サプライヤーに対する、長時間労働や低賃金労働などの労働搾取防止の要請,(1)国内外を問わず、サプライヤーに対して、長時間労働や低賃金労働などの労働搾取を防ぐために、次のような手立てを講じるように要請していますか,複数,"l.その他
【注】具体的内容は、「企業記入欄」に根拠とともに記載してください",2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,D.サプライヤーに対する、結社の自由(団結権)、団体交渉権の尊重の要請,(1)サプライヤーに対して、結社の自由や団体交渉権の尊重に関し、次のような要請を行っていますか,複数,a.要請をしていない、もしくは不明,0
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,D.サプライヤーに対する、結社の自由(団結権)、団体交渉権の尊重の要請,(1)サプライヤーに対して、結社の自由や団体交渉権の尊重に関し、次のような要請を行っていますか,複数,b.結社の自由の尊重を明文化すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,D.サプライヤーに対する、結社の自由(団結権)、団体交渉権の尊重の要請,(1)サプライヤーに対して、結社の自由や団体交渉権の尊重に関し、次のような要請を行っていますか,複数,c.団体交渉権の尊重を明文化すること,1
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,D.サプライヤーに対する、結社の自由(団結権)、団体交渉権の尊重の要請,(1)サプライヤーに対して、結社の自由や団体交渉権の尊重に関し、次のような要請を行っていますか,複数,d.労働組合員に対する差別やハラスメントを禁止すること,2
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,E.サプライヤーにおける労働者の権利侵害に関する、外部からの批判・指摘,(1)サプライヤーにおいて、労働者の権利侵害について、批判を受けたことがありますか,択一,"a.過去3年間、批判を受けたことは無い　
",3
3人権・労働,5.具体的課題への取組み－サプライチェーンにおける労働搾取の防止、労働者の権利の保護,E.サプライヤーにおける労働者の権利侵害に関する、外部からの批判・指摘,(1)サプライヤーにおいて、労働者の権利侵害について、批判を受けたことがありますか,択一,"b.過去3年以内に、以下のいずれかの批判を受けたことがある
〔国内サプライヤーが労働基準関係法令違反の指摘を受けた／その他、サプライチェーンにおける労働者の権利の侵害が批判を受けた〕
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",0
3人権・労働,6.具体的課題への取組み－フェアトレード,"A.社内でのフェアトレード調達推進
",(1)社内でフェアトレード調達の推進に取り組んでいますか（商品製造・販売のための調達を除きます。製造に関しては以下のBで、販売に関してはCで質問しています）,複数,a.取り組んでいない、もしくは不明,0
3人権・労働,6.具体的課題への取組み－フェアトレード,"A.社内でのフェアトレード調達推進
",(1)社内でフェアトレード調達の推進に取り組んでいますか（商品製造・販売のための調達を除きます。製造に関しては以下のBで、販売に関してはCで質問しています）,複数,b.社員食堂での提供や接客用に、フェアトレードのコーヒー、紅茶、砂糖等を使用している,3
3人権・労働,6.具体的課題への取組み－フェアトレード,"A.社内でのフェアトレード調達推進
",(1)社内でフェアトレード調達の推進に取り組んでいますか（商品製造・販売のための調達を除きます。製造に関しては以下のBで、販売に関してはCで質問しています）,複数,c.社員食堂などでフェアトレード食材（味噌、醤油、ゴマ、ゴマ油、砂糖、スパイス、ハーブ類等）を使ったメニューを出している,3
3人権・労働,6.具体的課題への取組み－フェアトレード,"A.社内でのフェアトレード調達推進
",(1)社内でフェアトレード調達の推進に取り組んでいますか（商品製造・販売のための調達を除きます。製造に関しては以下のBで、販売に関してはCで質問しています）,複数,d.ノベルティグッズや記念品などにフェアトレード・コットンを使用したトートバッグ、Tシャツなどフェアトレード製品を使っている,3
3人権・労働,6.具体的課題への取組み－フェアトレード,"A.社内でのフェアトレード調達推進
",(1)社内でフェアトレード調達の推進に取り組んでいますか（商品製造・販売のための調達を除きます。製造に関しては以下のBで、販売に関してはCで質問しています）,複数,e.上記のような用途のためにフェアトレード以外の第三者認証システム（レインフォレストアライアンス認証＊、GOTS認証＊、BCI認証＊等人権基準を含む認証システム）の製品を調達している,2
3人権・労働,6.具体的課題への取組み－フェアトレード,"A.社内でのフェアトレード調達推進
",(1)社内でフェアトレード調達の推進に取り組んでいますか（商品製造・販売のための調達を除きます。製造に関しては以下のBで、販売に関してはCで質問しています）,複数,f.上記のような用途のために、自社独自あるいは取引先独自のシステムの製品を調達している,1
3人権・労働,6.具体的課題への取組み－フェアトレード,B.フェアトレード製品の製造,(1)フェアトレードの製品を製造していますか,複数,a.フェアトレード製品の製造や製造委託を行っていない、または不明　,0
3人権・労働,6.具体的課題への取組み－フェアトレード,B.フェアトレード製品の製造,(1)フェアトレードの製品を製造していますか,複数,"b.現在フェアトレード以外の第三者認証システム（GOTS認証、BCI認証、レインフォレストアライアンス等人権基準を含む認証システム）の製品を開発・製造している
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",2
3人権・労働,6.具体的課題への取組み－フェアトレード,B.フェアトレード製品の製造,(1)フェアトレードの製品を製造していますか,複数,"c.フェアトレード製品を過去に製造していた。
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",1
3人権・労働,6.具体的課題への取組み－フェアトレード,B.フェアトレード製品の製造,(1)フェアトレードの製品を製造していますか,複数,d.フェアトレード製品の開発・製造を計画・検討中である【注】具体的内容は「企業記入欄」に記載してください,2
3人権・労働,6.具体的課題への取組み－フェアトレード,B.フェアトレード製品の製造,(1)フェアトレードの製品を製造していますか,複数,"e.現在フェアトレード製品を製造している
【注】具体的な商品名は「企業記入欄」に根拠とともに記載してください",5
3人権・労働,6.具体的課題への取組み－フェアトレード,B.フェアトレード製品の製造,(1)フェアトレードの製品を製造していますか,複数,"f.その他、自社独自あるいは取引先独自の、人権に配慮したエシカルなシステムの製品を製造している
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",1
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,a.該当しない（業務として商品の販売を行っていない）,－
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,b.販売を行っていない、または不明,0
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,"c,現在フェアトレード以外の第三者認証システム（GOTS認証、BCI認証、レインフォレストアライアンス等人権基準を含む認証システム）の商品を販売している
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",2
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,"d.フェアトレード商品を過去に販売したことがある
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",1
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,e.現在フェアトレード商品の販売を計画している【注】具体的内容は「企業記入欄」に記載してください,2
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,"f.フェアトレード商品を常に販売している
【注】具体的な商品名は「企業記入欄」に根拠とともに記載してください",5
3人権・労働,6.具体的課題への取組み－フェアトレード,C.フェアトレード商品の販売,"【商品の販売が行われている業界のみ】
(1) フェアトレード商品を販売していますか",複数,"g.その他
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",1
3人権・労働,7.社会全体での人権侵害助長の防止,A.ジェンダーの役割固定や性の商品化に関する人権侵害,(1)過去3年以内に、ジェンダーの役割固定や性の商品化を助長するようなテレビ・ウェブCM、新聞広告、看板広告等の作成・使用、あるいは幹部による発言等はありませんか,択一,a.そのような広告の作成や発言はない,3
3人権・労働,7.社会全体での人権侵害助長の防止,A.ジェンダーの役割固定や性の商品化に関する人権侵害,(1)過去3年以内に、ジェンダーの役割固定や性の商品化を助長するようなテレビ・ウェブCM、新聞広告、看板広告等の作成・使用、あるいは幹部による発言等はありませんか,択一,"b.ジェンダーによる役割固定の概念を助長している、または性の商品化（特に未成年について）を助長している、という指摘を受けたことがある
【注】具体的内容は「企業記入欄」に根拠をもとに記載してください",0
3人権・労働,7.社会全体での人権侵害助長の防止,B.差別の助長に関する人権侵害,(1)過去3年以内に、国籍・人種・民族・出自・年齢・性別・性的指向・性自認・宗教・思想・障害・学歴・収入などにもとづく差別を助長するような、テレビ・ウェブCM、新聞広告、看板広告等の作成・使用、あるいは幹部による発言等はありませんか,択一,a.そのような広告の作成や発言はない　,3
3人権・労働,7.社会全体での人権侵害助長の防止,B.差別の助長に関する人権侵害,(1)過去3年以内に、国籍・人種・民族・出自・年齢・性別・性的指向・性自認・宗教・思想・障害・学歴・収入などにもとづく差別を助長するような、テレビ・ウェブCM、新聞広告、看板広告等の作成・使用、あるいは幹部による発言等はありませんか,択一,"b. 差別を助長しているという指摘を受けたことがある
【注】具体的内容は「企業記入欄」に根拠とともに記載してください",0
4社会・社会貢献,1.社会貢献,A.方針,(1)社会貢献活動＊に関する方針はありますか,択一,a.方針はない,0
4社会・社会貢献,1.社会貢献,A.方針,(1)社会貢献活動＊に関する方針はありますか,択一,b.社会貢献として単独のものはないが、サステナビリティ方針に含まれている,1
4社会・社会貢献,1.社会貢献,A.方針,(1)社会貢献活動＊に関する方針はありますか,択一,c.方針がある,3
4社会・社会貢献,1.社会貢献,"B.主な社会貢献活動
",(1)主な社会貢献活動の取組みについて教えてください（活動は３つまで記入可）,複数。活動ごと複数、ただし一部択一,a.取組みはない,0
